Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1000,Alistair Barrf,18,913-74-1218,Lawyer,2023-05-01
CUS_0x1009,Arunah,26,063-67-6938,Mechanic,2025-01-01
CUS_0x100b,Shirboni,19,#F%$D@*&8,Media_Manager,2024-03-01
CUS_0x1011,Schneyerh,44,793-05-8223,Doctor,2023-11-01
CUS_0x1013,Cameront,44,930-49-9615,Mechanic,2023-12-01
CUS_0x1015,Holtono,27,810-97-7024,Journalist,2023-08-01
CUS_0x1018,Felsenthalq,15,731-19-8119,Accountant,2023-11-01
CUS_0x1026,Josephv,52,500-62-9044,Manager,2023-10-01
CUS_0x102d,Neil Chatterjeex,31,692-71-7552,Entrepreneur,2024-01-01
CUS_0x102e,Rhysn,26,#F%$D@*&8,Scientist,2024-04-01
CUS_0x1032,Wahbap,40_,620-58-8045,Lawyer,2023-08-01
CUS_0x1037,Matthewm,45,230-22-9583,Accountant,2023-01-01
CUS_0x1038,B.h,28,355-00-7832,Architect,2024-10-01
CUS_0x103e,Tim Kellyf,40,155-72-8070,Scientist,2024-12-01
CUS_0x1041,Jonathan Stempela,15,675-80-2033,Teacher,2023-11-01
CUS_0x1044,Maki Shirakip,44,#F%$D@*&8,_______,2023-06-01
CUS_0x1048,Janet McGurtyg,27,808-81-2470,Accountant,2024-02-01
CUS_0x104a,Leahk,37,#F%$D@*&8,Mechanic,2023-12-01
CUS_0x104e,Kentaros,50,837-93-5062,Teacher,2023-06-01
CUS_0x104f,Markm,20,264-84-8069,_______,2024-10-01
CUS_0x1051,Lucia Mutikanin,42,232-33-7638,Engineer,2024-01-01
CUS_0x1056,Hornbyb,44,081-93-4350,Entrepreneur,2023-04-01
CUS_0x1057,David Sheppardv,46_,741-07-3912,Writer,2023-09-01
CUS_0x105b,Patricia Zengerlel,24,#F%$D@*&8,Accountant,2023-11-01
CUS_0x105c,Lopezz,4746,998-18-7252,Journalist,2023-06-01
CUS_0x1063,Sylvia Westallq,20,883-38-8680,Architect,2023-12-01
CUS_0x1069,Andreas Cremero,32,761-27-5143,Accountant,2023-01-01
CUS_0x106f,Alwyn Scottk,55,517-96-1022,Developer,2023-08-01
CUS_0x1075,Dorfmanv,39,225-94-8383,Manager,2024-05-01
CUS_0x107c,Karenh,15,712-17-7369,Journalist,2023-11-01
CUS_0x107e,Lianaj,15,463-69-6790,Architect,2024-11-01
CUS_0x1087,Alistairy,51,620-14-7570,Doctor,2024-09-01
CUS_0x108a,Silvial,38,394-00-8142,Journalist,2023-05-01
CUS_0x1096,Edward Krudyk,43,228-65-4194,Lawyer,2024-03-01
CUS_0x1098,Krudyz,23,466-10-5742,_______,2025-01-01
CUS_0x109b,Gillesy,55,661-04-3699,Manager,2023-10-01
CUS_0x109d,Langep,45,260-21-1290,Writer,2024-04-01
CUS_0x109f,Vellacottj,41,283-32-0255,Teacher,2025-01-01
CUS_0x10a9,ini Kristenr,41,514-08-4156,Journalist,2024-10-01
CUS_0x10aa,Carey Gillama,20,101-00-4424,Musician,2023-02-01
CUS_0x10ac,Zhouy,29,780-50-4730,Developer,2024-08-01
CUS_0x10b3,Johnsona,48,293-45-3004,Mechanic,2024-11-01
CUS_0x10b6,Gillesw,49,439-76-5364,Journalist,2025-01-01
CUS_0x10bb,Chyenf,35,075-30-4340,Journalist,2023-03-01
CUS_0x10c0,Scheyderx,39,658-53-1756,Architect,2024-02-01
CUS_0x10c5,Moony,24,041-74-6785,_______,2024-08-01
CUS_0x10d7,Sinead Carewm,39,289-56-9714,Developer,2023-12-01
CUS_0x10dd,Praveen Menonq,25,907-60-4113,Teacher,2024-06-01
CUS_0x10df,Paritosh Bansalo,27,279-20-3097,Musician,2024-11-01
CUS_0x10e2,Sonalio,37,168-78-3262,Media_Manager,2025-01-01
CUS_0x10e7,Carewj,3843_,094-89-6380,_______,2024-11-01
CUS_0x10eb,Yaob,51,#F%$D@*&8,Journalist,2023-03-01
CUS_0x10ee,Hudsonb,30_,699-80-2426,Journalist,2023-06-01
CUS_0x10f9,Gilles Guillaumev,54,746-79-6875,_______,2023-05-01
CUS_0x10fd,Hendersonu,29,119-33-7350,Developer,2023-12-01
CUS_0x10ff,Murait,36,149-03-5931,Accountant,2023-10-01
CUS_0x1100,Kaorif,22,545-19-6617,Accountant,2023-10-01
CUS_0x1107,Felsenthalv,31,118-70-6277,Writer,2023-11-01
CUS_0x1108,en Klaymano,25,183-66-5001,Accountant,2024-07-01
CUS_0x1109,Karen Freifeldf,43,410-39-6091,Lawyer,2024-06-01
CUS_0x1119,Carlozoy,36,596-61-5235,Entrepreneur,2023-05-01
CUS_0x111b,Poornima Guptab,40,880-90-6663,Manager,2024-10-01
CUS_0x111c,Deepaa,24_,420-66-8144,Journalist,2024-03-01
CUS_0x1123,Suzannep,15,917-49-8240,Writer,2024-10-01
CUS_0x112d,James Daveyt,22,774-29-5843,Accountant,2024-03-01
CUS_0x112e,Sanog,32,981-03-7949,Mechanic,2024-04-01
CUS_0x112f,Ju-minv,21,294-20-6562,Mechanic,2023-10-01
CUS_0x1130,Elizabethr,37,846-60-3664,_______,2023-07-01
CUS_0x1132,Jonathano,39,152-95-7926,Mechanic,2023-03-01
CUS_0x1134,Stt,49,#F%$D@*&8,Doctor,2023-10-01
CUS_0x1135,Baertleinc,22_,897-95-1425,Journalist,2023-03-01
CUS_0x1136,Stevenk,22,894-06-9872,Entrepreneur,2023-06-01
CUS_0x1138,Prodhanx,44,832-92-6672,Lawyer,2024-09-01
CUS_0x1139,Copleyp,32_,952-67-5462,Scientist,2023-12-01
CUS_0x113e,Ransdell Piersono,45,542-14-0249,Manager,2023-02-01
CUS_0x1140,Jennifer Sabal,31,141-17-2233,Accountant,2023-02-01
CUS_0x1144,Douwet,42,720-70-0565,Doctor,2024-11-01
CUS_0x1145,Blenkinsopr,24,426-31-9194,Teacher,2024-08-01
CUS_0x114a,Valetkevitchu,43,133-89-5234,Developer,2023-01-01
CUS_0x114b,Hephero,37,978-19-7269,Entrepreneur,2025-01-01
CUS_0x1151,Hopkinsv,41,587-07-3210,Journalist,2024-10-01
CUS_0x1152,Gellerv,29,330-02-2598,Accountant,2024-11-01
CUS_0x1154,Jessica Wohlp,41,848-35-0776,Developer,2023-06-01
CUS_0x1155,Wohld,41,189-76-0870,Developer,2023-02-01
CUS_0x1156,Angela Moonq,25,877-50-9125,Entrepreneur,2023-06-01
CUS_0x115c,Ryan Vlastelicar,20,956-28-3067,Engineer,2024-02-01
CUS_0x1168,Philipm,42,773-33-0379,Writer,2023-10-01
CUS_0x1169,Janeman Latulb,34,352-87-0792,Lawyer,2023-09-01
CUS_0x117d,Evat,24,812-62-8349,Media_Manager,2023-09-01
CUS_0x117f,Kevinj,51,082-69-3410,Scientist,2023-11-01
CUS_0x1182,Conor Humphriesk,24,117-62-4809,Musician,2023-09-01
CUS_0x1183,Barlyna,22,972-42-3182,_______,2024-04-01
CUS_0x1184,Cohenq,49,963-76-2464,Lawyer,2023-01-01
CUS_0x1185,Groverj,25,238-50-2115,Accountant,2024-05-01
CUS_0x1190,Toonkelc,45,#F%$D@*&8,Media_Manager,2024-05-01
CUS_0x1192,Paul Carrell,5498,880-23-2963,Media_Manager,2023-05-01
CUS_0x1193,Peter Lauriap,46,239-12-4495,Developer,2024-10-01
CUS_0x1195,Alexk,31,822-48-3629,Manager,2024-12-01
CUS_0x1197,Nayako,28,799-23-8283,_______,2024-12-01
CUS_0x119e,Rodrigol,38,498-27-0676,Mechanic,2023-06-01
CUS_0x11a4,Caroline Humerc,44,000-40-3312,Manager,2023-11-01
CUS_0x11ac,Liana B.v,26_,835-92-7751,Journalist,2024-08-01
CUS_0x11ae,Xiaoyi Shaou,22,032-97-5902,Architect,2024-11-01
CUS_0x11b1,Browne,28,347-47-6952,_______,2023-05-01
CUS_0x11b7,Cremern,28,440-53-1294,Teacher,2025-01-01
CUS_0x11c0,Bryana,19,534-48-4062,Media_Manager,2023-08-01
CUS_0x11c1,Mark Felsenthalk,34,688-99-5258,Engineer,2025-01-01
CUS_0x11c6,Andreaj,49,170-12-4663,Manager,2023-09-01
CUS_0x11c7,raden Reddallh,53,646-19-1493,Architect,2023-03-01
CUS_0x11d1,Jennifer Ablans,25,#F%$D@*&8,Mechanic,2023-07-01
CUS_0x11d9,Annika Breidthardtd,42,548-26-8600,Scientist,2025-01-01
CUS_0x11e2,Valetkevitchr,34,809-04-1419,Musician,2024-12-01
CUS_0x11eb,Millikenw,3553,032-85-4630,_______,2023-07-01
CUS_0x11ec,William Schombergh,34,417-74-2163,Journalist,2024-12-01
CUS_0x11fc,Dmitracovaa,30,092-20-3138,Lawyer,2023-04-01
CUS_0x1204,Lashg,46_,741-78-3585,Writer,2024-03-01
CUS_0x1207,Wheatleym,34,365-76-1037,Developer,2023-12-01
CUS_0x120c,James Regann,15,212-98-0232,Scientist,2023-07-01
CUS_0x120d,Martinx,27,477-68-6707,Lawyer,2025-01-01
CUS_0x1216,Robin Emmotti,19,256-37-5248,Engineer,2023-04-01
CUS_0x121b,Cheeu,42,162-52-8159,Architect,2024-09-01
CUS_0x1220,Berkowitze,31,#F%$D@*&8,Architect,2024-04-01
CUS_0x1226,Hildebry,52,027-55-0167,_______,2024-04-01
CUS_0x122c,Papadimasf,48,883-73-9594,Entrepreneur,2024-08-01
